Fabricated Data for an Apiary season 2018
Apiary Hive# rand=1-20,Varroa Mites observed                  rand=0-133,"Hours of Sun,   Apr-Oct, 2018         rand=509-3374    ",Wax Moth Observed             rand=0-15,Total Honey Collected      (weight in g)         rand=2000-20000,Swarm Attempt (Yes = 1; 0 = No),Queen Cells produced               rand=0-6,,
15,68,2905.00,12,14552,1.00,3.00,,
15,35,3348.00,5,1828,0.00,3.00,,
16,72,1101.00,13,11745,0.00,2.00,,
16,82,1928.00,2,6034,0.00,6.00,,
16,67,2915.00,3,10994,0.00,5.00,,
16,37,2363.00,10,6660,1.00,1.00,,
16,123,967.00,14,10756,1.00,1.00,,
16,82,1716.00,3,10967,0.00,3.00,,
16,118,1378.00,7,13204,1.00,0.00,,
16,27,2709.00,6,12960,1.00,4.00,,
16,75,2285.00,11,5151,0.00,3.00,,
16,119,2934.00,10,13064,1.00,3.00,,
16,34,2639.00,3,12864,1.00,0.00,,
16,130,794.00,9,13402,0.00,4.00,,
16,41,2552.00,15,10661,0.00,6.00,,
16,44,733.00,7,8293,1.00,0.00,,
16,98,1573.00,0,9060,0.00,0.00,,
16,26,2578.00,2,9415,1.00,6.00,,
16,37,2955.00,4,1983,0.00,3.00,,
16,18,2521.00,6,10735,0.00,1.00,,
16,57,2955.00,1,4110,1.00,5.00,,
16,35,735.00,2,3839,0.00,4.00,,
16,102,2431.00,3,8806,0.00,6.00,,
16,85,2183.00,5,12384,0.00,6.00,,
16,69,2729.00,12,8202,0.00,4.00,,
16,91,1401.00,8,11328,1.00,1.00,,
16,85,628.00,2,11154,0.00,5.00,,
16,15,2932.00,2,13454,0.00,4.00,,
16,108,876.00,8,1320,0.00,4.00,,
16,114,1477.00,5,10277,0.00,2.00,,
16,83,1972.00,2,9768,1.00,4.00,,
16,20,3040.00,10,2056,1.00,5.00,,
16,36,2151.00,5,9435,0.00,5.00,,
16,83,1048.00,3,12027,1.00,0.00,,
16,20,1752.00,12,10651,1.00,4.00,,
16,36,1294.00,8,13434,0.00,1.00,,
16,32,684.00,9,1588,1.00,3.00,,
16,46,2169.00,14,7773,1.00,6.00,,
16,104,3332.00,13,9387,1.00,3.00,,
16,21,1733.00,8,4708,1.00,0.00,,
16,47,2978.00,7,13844,1.00,5.00,,
16,6,1190.00,4,3273,0.00,4.00,,
16,59,895.00,10,5156,0.00,4.00,,
16,117,2811.00,3,2685,0.00,1.00,,
16,22,1320.00,13,6703,1.00,6.00,,
16,94,2790.00,14,11088,1.00,5.00,,
16,45,2101.00,13,3418,0.00,5.00,,
16,60,2104.00,10,5570,0.00,5.00,,
16,117,3161.00,10,1987,1.00,5.00,,
17,35,3046.00,5,1917,0.00,3.00,,
17,76,2137.00,2,9607,1.00,4.00,,
17,88,2813.00,6,13063,1.00,2.00,,
17,32,1964.00,8,10463,0.00,4.00,,
17,64,1512.00,14,13401,0.00,0.00,,
17,127,1825.00,3,12907,1.00,0.00,,
17,116,870.00,14,8235,0.00,6.00,,
17,31,1008.00,6,8695,0.00,2.00,,
17,46,3316.00,11,3537,0.00,5.00,,
17,133,1216.00,7,6501,0.00,1.00,,
17,47,1255.00,6,4698,0.00,0.00,,
17,70,1791.00,2,11741,0.00,4.00,,
17,28,1950.00,7,11426,0.00,3.00,,
17,17,931.00,12,12383,1.00,4.00,,
17,29,2033.00,12,9865,1.00,1.00,,
17,115,764.00,6,13522,1.00,5.00,,
17,108,3306.00,8,12146,0.00,4.00,,
17,3,666.00,12,11176,0.00,2.00,,
17,3,1268.00,12,3153,0.00,2.00,,
17,83,1004.00,1,13739,0.00,5.00,,
17,78,2163.00,9,10311,0.00,5.00,,
17,13,1877.00,14,10506,0.00,2.00,,
17,98,761.00,8,9260,0.00,6.00,,
17,14,1876.00,5,8576,1.00,3.00,,
17,108,1065.00,11,14420,0.00,6.00,,
17,58,3046.00,9,8742,1.00,6.00,,
17,60,908.00,6,10156,1.00,4.00,,
17,7,2040.00,5,8359,0.00,2.00,,
17,122,928.00,11,8437,1.00,4.00,,
17,96,1018.00,3,6187,0.00,3.00,,
17,33,2354.00,13,4652,1.00,6.00,,
17,64,520.00,8,6852,0.00,2.00,,
17,128,2932.00,2,2122,1.00,3.00,,
17,26,1069.00,12,3631,1.00,5.00,,
17,113,1866.00,11,10404,0.00,5.00,,
17,35,2445.00,0,4434,0.00,4.00,,
17,123,1705.00,14,2453,0.00,0.00,,
17,130,3290.00,4,13554,1.00,5.00,,
17,71,872.00,4,4656,0.00,2.00,,
17,5,923.00,2,9896,1.00,6.00,,
17,118,634.00,10,3307,0.00,1.00,,
17,27,677.00,8,14406,0.00,4.00,,
17,124,2262.00,12,8021,1.00,4.00,,
17,4,3369.00,6,1959,0.00,6.00,,
17,1,721.00,6,4661,0.00,2.00,,
17,30,537.00,6,5246,1.00,0.00,,
17,26,2740.00,12,6946,1.00,5.00,,
17,106,1136.00,15,14894,1.00,6.00,,
17,127,1456.00,1,10293,1.00,3.00,,
17,110,1552.00,8,1522,1.00,6.00,,
17,106,1839.00,1,6034,1.00,6.00,,
17,100,2748.00,1,9907,0.00,4.00,,
17,51,1246.00,5,4991,1.00,3.00,,
18,84,3121.00,1,4382,1.00,0.00,,
18,51,1294.00,1,12625,1.00,0.00,,
18,69,901.00,7,1261,1.00,5.00,,
18,44,2331.00,15,5927,1.00,0.00,,
18,58,2526.00,14,9900,0.00,3.00,,
18,50,3312.00,9,12660,1.00,1.00,,
18,63,609.00,7,14191,1.00,6.00,,
18,2,2659.00,6,5063,0.00,0.00,,
18,62,718.00,13,13229,1.00,6.00,,
18,101,1430.00,0,10847,0.00,2.00,,
18,110,2564.00,11,3217,1.00,0.00,,
18,99,1668.00,13,8903,0.00,6.00,,
18,32,1825.00,7,5124,1.00,0.00,,
18,3,1570.00,13,5456,1.00,0.00,,
18,12,784.00,14,4527,0.00,6.00,,
18,68,1547.00,14,11416,0.00,4.00,,
18,126,2372.00,2,12961,0.00,2.00,,
18,47,1899.00,0,3032,1.00,4.00,,
18,93,1227.00,14,3148,1.00,4.00,,
18,58,1288.00,12,3746,1.00,0.00,,
18,19,3182.00,13,3909,1.00,4.00,,
18,99,2394.00,7,1507,0.00,2.00,,
18,20,1062.00,13,3065,1.00,4.00,,
18,80,1955.00,13,5293,0.00,6.00,,
18,63,2063.00,6,6224,0.00,1.00,,
18,27,666.00,14,8470,1.00,0.00,,
18,41,1015.00,12,2502,0.00,5.00,,
18,118,638.00,0,8572,0.00,2.00,,
18,13,967.00,0,11344,0.00,3.00,,
18,38,1992.00,4,1696,0.00,4.00,,
18,75,2296.00,0,10391,0.00,6.00,,
18,77,1297.00,3,13754,0.00,0.00,,
18,78,1623.00,1,13128,1.00,3.00,,
18,91,679.00,13,8335,0.00,5.00,,
18,21,2097.00,3,12866,1.00,2.00,,
18,26,2376.00,3,12570,0.00,0.00,,
18,55,3001.00,11,8517,1.00,3.00,,
18,18,1947.00,14,2984,1.00,6.00,,
19,45,2056.00,12,10079,1.00,0.00,,
19,67,3345.00,9,11779,0.00,4.00,,
19,21,2534.00,3,8200,1.00,1.00,,
19,45,2245.00,11,13993,1.00,4.00,,
19,33,2815.00,1,6991,1.00,0.00,,
19,39,1096.00,15,14121,1.00,5.00,,
19,53,1157.00,15,4921,1.00,3.00,,
19,26,2970.00,2,8717,0.00,0.00,,
19,103,1420.00,11,9079,0.00,0.00,,
19,18,2245.00,7,13247,0.00,0.00,,
19,105,2834.00,0,14215,0.00,4.00,,
19,37,2870.00,5,4387,0.00,4.00,,
19,106,1587.00,6,14899,0.00,0.00,,
19,122,1288.00,2,7340,1.00,2.00,,
19,16,2858.00,11,4964,0.00,2.00,,
19,32,670.00,13,10745,0.00,1.00,,
19,103,3000.00,13,14002,1.00,6.00,,
19,71,3349.00,3,6518,0.00,0.00,,
19,56,1562.00,4,11083,0.00,2.00,,
19,17,1830.00,9,6007,1.00,2.00,,
19,81,2207.00,5,11712,0.00,6.00,,
19,131,2218.00,2,2302,1.00,2.00,,
19,129,2501.00,15,3932,1.00,0.00,,
19,75,2947.00,12,9893,1.00,6.00,,
19,9,2784.00,12,9396,0.00,6.00,,
19,40,2673.00,1,8945,1.00,4.00,,
19,89,1637.00,7,13397,1.00,3.00,,
19,121,1085.00,12,4408,0.00,2.00,,
19,9,2255.00,15,8701,0.00,4.00,,
19,94,3004.00,2,10397,0.00,4.00,,
19,124,2065.00,2,4764,1.00,6.00,,
19,66,2336.00,8,2889,0.00,5.00,,
19,33,2609.00,12,4190,1.00,0.00,,
19,30,743.00,8,2886,1.00,6.00,,
20,98,3308.00,12,10488,1.00,2.00,,
20,63,1152.00,15,8199,1.00,3.00,,
20,105,2555.00,9,11399,0.00,0.00,,
20,5,3157.00,9,7648,0.00,0.00,,
20,64,859.00,11,14426,1.00,3.00,,
20,91,1732.00,8,11030,0.00,3.00,,
20,12,1154.00,6,10418,1.00,1.00,,
20,123,1287.00,12,12220,0.00,3.00,,
20,30,3111.00,13,14153,0.00,2.00,,
20,18,808.00,13,14787,1.00,4.00,,
20,119,1890.00,9,11732,0.00,1.00,,
20,34,3185.00,4,10789,1.00,2.00,,
20,26,2169.00,13,5365,1.00,1.00,,
20,119,668.00,6,6125,0.00,1.00,,
20,84,1161.00,15,3382,1.00,3.00,,
20,20,964.00,2,2793,0.00,0.00,,
20,6,899.00,1,1874,0.00,6.00,,
20,87,1163.00,4,4807,0.00,6.00,,
20,109,967.00,2,1470,1.00,6.00,,
20,89,2342.00,2,11471,0.00,3.00,,
20,20,2678.00,12,7012,0.00,2.00,,
20,0,2759.00,11,1965,0.00,2.00,,
20,46,3293.00,14,2919,0.00,3.00,,
20,37,2890.00,10,2870,0.00,3.00,,
20,9,1533.00,1,10606,0.00,3.00,,
20,23,1960.00,0,6162,1.00,4.00,,
20,90,1092.00,7,5892,1.00,1.00,,
20,70,1654.00,0,11473,0.00,5.00,,
20,101,1002.00,5,12144,0.00,1.00,,
20,111,2566.00,7,2230,0.00,6.00,,
20,95,2867.00,5,7043,0.00,6.00,,
20,17,1960.00,7,3961,0.00,3.00,,
20,24,567.00,11,8378,0.00,1.00,,
20,39,2211.00,0,11927,1.00,0.00,,
20,126,2861.00,6,2330,1.00,6.00,,
20,129,2761.00,2,5483,0.00,4.00,,
20,111,2339.00,8,2441,1.00,5.00,,
20,122,2122.00,6,1232,0.00,4.00,,
20,41,2585.00,13,6094,0.00,0.00,,
20,110,3188.00,12,10748,1.00,0.00,,
20,87,1478.00,5,2807,1.00,5.00,,
20,109,1411.00,12,9938,0.00,3.00,,
20,133,1042.00,14,7925,0.00,3.00,,
20,127,3058.00,8,2158,1.00,5.00,,
20,37,2757.00,14,10832,0.00,6.00,,
,,,,,,,,
