Apiary Hive# rand=1-20,Varroa Mites observed                  rand=0-133,"Hours of Sun,   Apr-Oct, 2018         rand=509-3374",Wax Moth Observed             rand=0-15,Total Honey Collected      (weight in g)         rand=2000-20000,Swarm Attempt (Yes = 1; 0 = No),Queen Cells produced               rand=0-6,,
20,46,3293,14,2919,0,3,,
20,37,2890,10,2870,0,3,,
20,9,1533,1,10606,0,3,,
20,23,1960,0,6162,1,4,,
20,90,1092,7,5892,1,1,,
20,70,1654,0,11473,0,5,,
20,101,1002,5,12144,0,1,,
20,111,2566,7,2230,0,6,,
20,95,2867,5,7043,0,6,,
20,17,1960,7,3961,0,3,,
20,24,567,11,8378,0,1,,
20,39,2211,0,11927,1,0,,
20,126,2861,6,2330,1,6,,
20,129,2761,2,5483,0,4,,
20,111,2339,8,2441,1,5,,
20,122,2122,6,1232,0,4,,
20,41,2585,13,6094,0,0,,
20,110,3188,12,10748,1,0,,
20,87,1478,5,2807,1,5,,
20,109,1411,12,9938,0,3,,
20,133,1042,14,7925,0,3,,
20,127,3058,8,2158,1,5,,
20,37,2757,14,10832,0,6,,
,,,,,,,,
